bhk,area,price,age,type,locality,region,status
2,1070,97.4,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
3,1300,147.0,0,Apartment,JP North Barcelona,Mira Road East,Ready to move
1,710,63.84,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
2,1020,85.0,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
3,1300,148.0,0,Apartment,JP North Barcelona,Mira Road East,Under Construction
1,688,63.64,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
1,688,62.88,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
2,1100,119.0,0,Apartment,JP North Barcelona,Mira Road East,Ready to move
2,1100,118.0,0,Apartment,JP North Barcelona,Mira Road East,Under Construction
1,783,68.2,0,Apartment,Raj Heritage,Mira Road East,Ready to move
1,732,62.78,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
2,1070,95.5,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
3,1325,137.0,0,Apartment,JP JP North Phase 5 Euphoria,Mira Road East,Under Construction
2,1050,94.4,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
2,1010,107.0,0,Apartment,JP JP North Phase 5 Euphoria,Mira Road East,Under Construction
2,1050,93.9,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
1,688,59.34,0,Apartment,JP Codename HOTCAKE,Mira Road East,Under Construction
1,710,68.8,0,Apartment,JP North Phase 6 Alexa,Mira Road East,Under Construction
2,1040,93.5,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
1,1040,92.6,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
1,670,67.08,0,Apartment,JP North Phase 6 Alexa,Mira Road East,Under Construction
2,970,85.2,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
3,1440,131.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
2,970,86.5,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
2,1060,106.0,0,Apartment,Strawberry The Address,Mira Road East,Under Construction
4,1060,87.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
2,970,86.4,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
1,760,65.0,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Ready to move
2,1050,84.5,0,Apartment,RNA NG Ocean Pearl,Mira Road East,Ready to move
3,1356,144.0,0,Apartment,JP JP North Phase 5 Euphoria,Mira Road East,Ready to move
1,770,71.3,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
3,1356,143.0,0,Apartment,JP JP North Phase 5 Euphoria,Mira Road East,Under Construction
2,1050,84.0,0,Apartment,RNA NG Ocean Pearl,Mira Road East,Under Construction
2,1053,100.0,0,Apartment,JP JP North Phase 5 Euphoria,Mira Road East,Ready to move
1,710,59.5,0,Apartment,RNA NG Ocean Pearl,Mira Road East,Ready to move
1,770,70.3,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
2,1060,90.5,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
1,710,59.0,0,Apartment,RNA NG Ocean Pearl,Mira Road East,Under Construction
2,1060,90.0,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
1,710,66.5,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
1,710,66.2,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
1,690,60.5,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
1,710,65.5,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
1,690,60.0,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
3,1530,138.0,0,Apartment,JP JP North Phase 5 Euphoria,Mira Road East,Under Construction
2,1050,94.5,1,Apartment,Raj Heritage,Mira Road East,Ready to move
2,1050,94.0,0,Apartment,Raj Heritage,Mira Road East,Ready to move
1,860,69.5,0,Apartment,JP North Phase 6 Alexa,Mira Road East,Ready to move
1,756,66.0,1,Apartment,Raj Heritage,Mira Road East,Ready to move
1,756,65.5,0,Apartment,Raj Heritage,Mira Road East,Ready to move
1,830,68.7,0,Apartment,JP North Phase 6 Alexa,Mira Road East,Ready to move
1,650,59.5,1,Apartment,Strawberry Onyx,Mira Road East,Ready to move
1,795,66.2,0,Apartment,JP North Phase 6 Alexa,Mira Road East,Under Construction
1,650,59.0,0,Apartment,Strawberry Onyx,Mira Road East,Ready to move
1,770,64.3,0,Apartment,JP North Phase 6 Alexa,Mira Road East,Under Construction
2,995,78.0,1,Apartment,Strawberry Onyx,Mira Road East,Ready to move
2,1070,93.5,0,Apartment,Raj 127 Raj Homes A Wing,Mira Road East,Ready to move
2,995,78.5,0,Apartment,Strawberry Onyx,Mira Road East,Ready to move
3,1300,114.99999999999999,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
2,1060,100.0,1,Apartment,Strawberry The Address,Mira Road East,Ready to move
1,708,61.2,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
3,1300,114.99999999999999,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
2,1070,93.0,0,Apartment,Raj 127 Raj Homes A Wing,Mira Road East,Under Construction
2,1090,98.5,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
2,877,81.35,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
2,1090,98.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
2,877,81.3,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
2,1050,90.5,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
2,1050,90.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
1,710,63.8,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Ready to move
1,710,63.75,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
1,732,62.85,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Ready to move
2,990,79.5,0,Apartment,Strawberry Onyx,Mira Road East,Under Construction
1,690,58.0,0,Apartment,Strawberry Onyx,Mira Road East,Ready to move
1,732,62.8,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
1,690,57.2,0,Apartment,Strawberry Onyx,Mira Road East,Under Construction
2,1045,100.0,0,Apartment,Unique The Empress,Mira Road East,Under Construction
2,995,80.3,0,Apartment,Shree Nidhi Heights B Wing,Mira Road East,Under Construction
1,760,59.3,0,Apartment,Shree Nidhi Heights B Wing,Mira Road East,Ready to move
1,760,59.0,0,Apartment,Shree Nidhi Heights B Wing,Mira Road East,Under Construction
1,710,61.0,0,Apartment,Umiya Oasis,Mira Road East,Under Construction
2,1060,96.5,0,Apartment,Techno Vision Vivanta Marvel,Mira Road East,Ready to move
2,970,87.7,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
2,970,86.8,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
2,1050,98.25,0,Apartment,JP North Celeste,Mira Road East,Ready to move
2,970,86.3,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
2,1040,93.5,0,Apartment,Raj Heritage 2,Mira Road East,Under Construction
1,740,66.0,0,Apartment,Raj Heritage,Mira Road East,Under Construction
1,725,73.5,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Ready to move
1,725,73.25,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
1,720,72.25,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
1,700,70.5,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Ready to move
1,700,70.0,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
2,1110,92.5,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
2,1110,92.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
2,1090,85.5,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
1,860,69.3,0,Apartment,JP North Phase 6 Alexa,Mira Road East,Under Construction
2,1080,83.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
2,1080,82.5,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
2,1040,92.6,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
1,710,59.0,0,Apartment,Shree Nidhi Heights B Wing,Mira Road East,Under Construction
2,1065,79.5,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Ready to move
2,1040,92.4,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
2,1065,79.0,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
1,690,60.0,0,Apartment,Umiya Oasis,Mira Road East,Under Construction
2,1060,78.5,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Ready to move
2,1060,78.0,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
2,995,86.5,0,Apartment,Umiya Oasis,Mira Road East,Under Construction
1,720,64.0,0,Apartment,SKD Pinnacolo NX,Mira Road East,Under Construction
1,750,59.0,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
1,825,70.0,0,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,Mira Road East,Under Construction
2,1040,89.5,0,Apartment,SKD Pinnacolo NX,Mira Road East,Under Construction
1,795,68.0,0,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,Mira Road East,Under Construction
1,665,54.0,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Under Construction
1,695,57.0,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Under Construction
1,755,61.0,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Under Construction
1,760,63.0,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Under Construction
1,690,56.0,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Under Construction
1,690,63.0,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
2,1060,94.0,0,Apartment,Raj Heritage,Mira Road East,Under Construction
1,730,65.5,0,Apartment,Raj Heritage,Mira Road East,Under Construction
2,1100,97.5,0,Apartment,Pramanik Walchand Paradise,Mira Road East,Ready to move
1,710,67.0,0,Apartment,Pramanik Walchand Paradise,Mira Road East,Under Construction
3,1356,142.0,0,Apartment,JP JP North Phase 5 Euphoria,Mira Road East,Under Construction
2,990,80.5,0,Apartment,Shree Ramdev Heights,Mira Road East,Under Construction
2,1071,88.5,0,Apartment,Raj Akshay,Mira Road East,Ready to move
1,700,62.0,0,Apartment,Raj Akshay,Mira Road East,Under Construction
2,995,78.0,0,Apartment,Strawberry Onyx,Mira Road East,Under Construction
2,1040,87.0,0,Apartment,Shree Nidhi Heights B Wing,Mira Road East,Under Construction
2,995,85.5,0,Apartment,Unique Ivana,Mira Road East,Ready to move
2,995,83.0,0,Apartment,Shree Nidhi Heights B Wing,Mira Road East,Ready to move
1,700,61.0,0,Apartment,Strawberry Onyx,Mira Road East,Ready to move
2,995,82.25,0,Apartment,Shree Nidhi Heights B Wing,Mira Road East,Under Construction
1,700,60.0,0,Apartment,Strawberry Onyx,Mira Road East,Under Construction
2,995,85.0,0,Apartment,Unique Ivana,Mira Road East,Under Construction
1,695,58.0,0,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,Mira Road East,Under Construction
2,980,87.0,0,Apartment,JK IRIS,Mira Road East,Under Construction
2,980,86.08,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
2,975,84.81,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
2,975,84.71,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
2,877,81.37,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
1,735,68.1,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Ready to move
1,735,67.94,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
1,720,65.46,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Ready to move
1,720,65.36,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
1,710,63.94,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Ready to move
2,1060,102.0,0,Apartment,Strawberry The Address,Mira Road East,Ready to move
1,730,64.5,1,Apartment,Strawberry The Address,Mira Road East,Ready to move
2,1060,99.0,0,Apartment,Unique Ivana,Mira Road East,Under Construction
2,1045,97.5,0,Apartment,Unique Ivana,Mira Road East,Ready to move
2,1045,97.0,0,Apartment,Unique Ivana,Mira Road East,Under Construction
1,740,62.5,0,Apartment,Unique Ivana,Mira Road East,Ready to move
1,650,59.5,0,Apartment,Unique Ivana,Mira Road East,Ready to move
1,650,59.0,0,Apartment,Unique Ivana,Mira Road East,Under Construction
2,1050,95.0,0,Apartment,SKD Pinnacolo NX,Mira Road East,Under Construction
2,1020,94.5,1,Apartment,SKD Pinnacolo NX,Mira Road East,Ready to move
2,1045,100.0,1,Apartment,Unique The Empress,Mira Road East,Ready to move
1,640,60.5,1,Apartment,SKD Pinnacolo NX,Mira Road East,Ready to move
1,640,60.0,0,Apartment,SKD Pinnacolo NX,Mira Road East,Under Construction
1,630,58.5,1,Apartment,SKD Pinnacolo NX,Mira Road East,Ready to move
1,630,58.0,0,Apartment,SKD Pinnacolo NX,Mira Road East,Under Construction
2,1020,91.5,1,Apartment,Shree Ramdev Heights,Mira Road East,Ready to move
2,1020,91.0,0,Apartment,Shree Ramdev Heights,Mira Road East,Under Construction
2,1120,101.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
1,688,62.9,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
2,1152,117.0,0,Apartment,JP North Barcelona Wing D,Mira Road East,Under Construction
2,1050,94.2,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
2,1065,95.5,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
2,1120,94.5,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
1,720,62.5,0,Apartment,SKD Pinnacolo NX,Mira Road East,Ready to move
2,1040,86.5,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
1,760,72.5,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
2,1060,94.5,0,Apartment,Raj Heritage,Mira Road East,Ready to move
1,710,67.5,0,Apartment,Pramanik Walchand Paradise,Mira Road East,Ready to move
2,1050,88.5,0,Apartment,RNA NG NG Diamond Hill B Phase I,Bhayandar East,Ready to move
2,1040,92.5,0,Apartment,Unique Ivana,Mira Road East,Ready to move
1,710,60.5,0,Apartment,RNA NG N G Diamond Hill D Phase II,Mira Road East,Ready to move
1,740,67.5,0,Apartment,JP North Phase 6 Alexa,Mira Road East,Ready to move
2,1040,89.0,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
1,700,65.5,0,Apartment,JP North Phase 6 Alexa,Mira Road East,Ready to move
1,670,67.5,0,Apartment,JP North Phase 6 Alexa,Mira Road East,Ready to move
2,970,83.0,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
1,688,62.95,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Ready to move
1,714,62.2,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
1,710,65.45,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Ready to move
1,690,63.65,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
1,678,63.05,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Ready to move
1,678,63.0,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
2,982,92.2,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
2,1010,91.55,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Ready to move
1,745,69.7,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Ready to move
1,745,69.6,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
1,714,62.4,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Ready to move
2,1120,101.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
2,915,86.4,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Ready to move
2,915,86.3,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
2,1015,91.65,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
2,1010,91.35,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
3,1360,119.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
1,690,59.85,0,Apartment,Umiya Oasis,Mira Road East,Under Construction
3,1790,162.0,0,Apartment,Jangid Indrayani,Mira Road East,Ready to move
2,1310,117.0,0,Apartment,Jangid Indrayani,Mira Road East,Ready to move
2,1310,117.0,0,Apartment,Jangid Indrayani,Mira Road East,Under Construction
1,1010,91.8,0,Apartment,Jangid Indrayani,Mira Road East,Under Construction
1,690,62.0,0,Apartment,Unique Ivana,Mira Road East,Ready to move
1,690,60.5,0,Apartment,Umiya Oasis,Mira Road East,Ready to move
2,990,80.0,0,Apartment,Strawberry Onyx,Mira Road East,Ready to move
2,1070,96.3,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
2,1070,96.15,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
1,715,64.25,0,Apartment,Raj Heritage 2,Mira Road East,Ready to move
1,715,64.2,0,Apartment,Raj Heritage 2,Mira Road East,Under Construction
2,1050,95.0,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
2,1060,97.2,0,Apartment,Techno Vision Vivanta Marvel,Mira Road East,Ready to move
2,1050,93.55,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
2,1060,97.0,0,Apartment,Techno Vision Vivanta Marvel,Mira Road East,Under Construction
2,1040,94.2,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
2,1040,93.8,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
1,720,57.25,0,Apartment,Techno Vision Vivanta Marvel,Mira Road East,Under Construction
1,710,74.0,0,Apartment,MICL Aaradhya Highpark,Bhayandar East,Under Construction
1,705,61.0,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
1,720,64.5,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
1,716,63.5,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
1,712,61.2,0,Apartment,Raj Akshay,Mira Road East,Ready to move
1,690,72.0,0,Apartment,MICL Aaradhya Highpark,Bhayandar East,Under Construction
2,1050,98.0,0,Apartment,JP North Celeste,Mira Road East,Ready to move
1,770,69.8,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
1,700,68.0,0,Apartment,JP North Celeste,Mira Road East,Ready to move
1,710,65.8,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
2,1040,88.0,0,Apartment,Umiya Oasis,Mira Road East,Under Construction
1,690,63.5,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
1,690,61.0,0,Apartment,Umiya Oasis,Mira Road East,Under Construction
1,690,63.2,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
2,1071,89.0,0,Apartment,Raj Akshay,Mira Road East,Under Construction
2,1040,92.72,0,Apartment,Amar Vinay Heritage,Mira Road East,Ready to move
2,1040,92.52,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
2,1100,87.0,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
2,930,86.2,0,Apartment,Amar Vinay Heritage,Mira Road East,Under Construction
1,725,63.0,0,Apartment,SKD Pinnacolo And Pinnacolo NX,Mira Road East,Under Construction
2,1100,97.2,0,Apartment,Pramanik Walchand Paradise,Mira Road East,Ready to move
1,695,67.4,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Ready to move
1,755,72.3,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Ready to move
1,755,72.0,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Under Construction
1,765,73.5,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Ready to move
1,765,73.0,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Under Construction
1,690,66.3,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Ready to move
1,690,66.0,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Under Construction
1,785,75.3,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Ready to move
1,785,75.0,0,Apartment,Sanghvi Ecocity Phase 3,Mira Road East,Under Construction
1,775,73.0,0,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,Mira Road East,Under Construction
2,1015,92.3,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Ready to move
2,1015,92.0,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
2,1010,91.3,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Ready to move
2,1010,91.0,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
2,915,86.3,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Ready to move
1,665,64.6,0,Apartment,JP North Barcelona,Mira Road East,Ready to move
2,915,86.0,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
1,665,64.5,0,Apartment,JP North Barcelona,Mira Road East,Under Construction
2,982,92.12,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
2,982,92.02,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
2,1110,93.74,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
2,980,86.18,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
1,1400,149.0,1,Apartment,Swaraj Homes Moreshwar Complex CHS,Kharghar,Ready to move
2,1050,97.65,0,Apartment,JP North Celeste,Mira Road East,Under Construction
2,1000,88.0,0,Apartment,JK IRIS,Mira Road East,Ready to move
1,755,64.5,0,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,Mira Road East,Ready to move
1,755,64.0,0,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,Mira Road East,Under Construction
2,1000,88.5,0,Apartment,JK IRIS,Mira Road East,Under Construction
1,765,66.0,0,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,Mira Road East,Under Construction
1,690,58.5,0,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,Mira Road East,Under Construction
1,785,67.5,0,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,Mira Road East,Ready to move
2,1040,89.5,0,Apartment,Umiya Oasis,Mira Road East,Under Construction
1,710,71.25,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
1,785,67.0,0,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,Mira Road East,Under Construction
1,700,60.0,0,Apartment,Umiya Oasis,Mira Road East,Under Construction
1,745,69.0,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
1,775,64.5,0,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,Mira Road East,Ready to move
1,690,61.0,0,Apartment,JP Codename HOTCAKE,Mira Road East,Ready to move
1,775,64.0,0,Apartment,Sanghvi Sanghvi S3 Ecocity Woods,Mira Road East,Under Construction
1,690,60.5,0,Apartment,JP Codename HOTCAKE,Mira Road East,Under Construction
1,690,65.3,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Ready to move
3,1350,137.0,0,Apartment,JP JP North Phase 5 Euphoria,Mira Road East,Ready to move
1,690,65.0,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
3,1350,135.0,0,Apartment,JP JP North Phase 5 Euphoria,Mira Road East,Under Construction
1,710,62.2,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Ready to move
2,995,105.0,0,Apartment,JP JP North Phase 5 Euphoria,Mira Road East,Under Construction
1,710,67.0,0,Apartment,JP North Phase 6 Alexa,Mira Road East,Ready to move
1,730,68.0,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
1,710,61.8,0,Apartment,Sanghvi S3 Skyrise,Mira Road East,Under Construction
2,1040,91.2,0,Apartment,Raj Akshay,Mira Road East,Under Construction
2,1040,92.5,0,Apartment,Unique Ivana,Mira Road East,Under Construction
2,1050,88.0,0,Apartment,RNA NG NG Diamond Hill B Phase I,Bhayandar East,Under Construction
1,710,60.0,0,Apartment,RNA NG Ocean Pearl,Mira Road East,Under Construction
1,710,60.0,0,Apartment,RNA NG N G Diamond Hill D Phase II,Mira Road East,Under Construction
1,700,60.0,0,Apartment,Unique Ivana,Mira Road East,Under Construction
1,730,66.0,0,Apartment,Strawberry The Address,Mira Road East,Under Construction
3,1850,215.0,0,Apartment,Sonam Indra Neel,Bhayandar East,Under Construction
1,1250,137.0,0,Apartment,Sonam Indra Neel,Bhayandar East,Ready to move
1,1250,137.0,0,Apartment,Sonam Indra Neel,Bhayandar East,Under Construction
2,1120,106.0,0,Apartment,Jangid Indrayani,Mira Road East,Ready to move
2,1120,106.0,0,Apartment,Jangid Indrayani,Mira Road East,Under Construction
3,1360,162.0,0,Apartment,Jangid Indrayani,Mira Road East,Ready to move
3,1360,162.0,0,Apartment,Jangid Indrayani,Mira Road East,Under Construction
3,1330,142.0,0,Apartment,Jangid Indrayani,Mira Road East,Ready to move
1,715,72.5,0,Apartment,JP North Barcelona,Mira Road East,Ready to move
3,1450,156.0,0,Apartment,JP North Barcelona Wing D,Mira Road East,Ready to move
3,1450,155.0,0,Apartment,JP North Barcelona Wing D,Mira Road East,Under Construction
3,1350,146.0,0,Apartment,JP North Barcelona Wing D,Mira Road East,Ready to move
3,1350,144.0,0,Apartment,JP North Barcelona Wing D,Mira Road East,Under Construction
2,1100,120.0,0,Apartment,JP North Barcelona Wing D,Mira Road East,Under Construction
1,715,72.0,0,Apartment,JP North Barcelona,Mira Road East,Under Construction
2,1000,86.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
1,690,58.0,0,Apartment,Shree Ramdev Heights,Mira Road East,Under Construction
1,720,63.0,0,Apartment,SKD Pinnacolo NX,Mira Road East,Under Construction
1,630,64.5,0,Apartment,JP North Barcelona,Mira Road East,Under Construction
2,1000,88.0,0,Apartment,JK IRIS,Mira Road East,Under Construction
2,990,81.0,0,Apartment,JP Codename Dream Home Tower B,Mira Road East,Under Construction
1,710,69.0,0,Apartment,MICL Aradhya D And E Tower,Bhayandar East,Under Construction
2,975,87.5,0,Apartment,JK IRIS,Mira Road East,Ready to move
2,950,78.5,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
2,975,87.0,0,Apartment,JK IRIS,Mira Road East,Under Construction
1,745,65.5,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
2,995,83.5,0,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
2,995,83.0,0,Apartment,Lodha Mira Road Project 1,Mira Road East,Under Construction
1,745,65.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
2,1060,80.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
1,735,62.5,0,Apartment,City Home Dream City,Taloja,Ready to move
1,755,66.5,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
1,730,61.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
1,745,64.5,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
1,745,64.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
1,720,62.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
1,735,63.5,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Ready to move
1,720,61.5,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
1,735,63.0,0,Apartment,JP Codename Dream Home Tower C,Mira Road East,Under Construction
